depth_cm;mean_age;sd_age
331;4274.05034;227.9701121
332;4279.52697;226.674702
333;4285.0036;226.0006232
334;4290.48023;225.9534366
335;4295.95686;226.533534
336;4301.43349;227.7361219
337;4306.91012;229.5514171
338;4312.38675;231.9650353
339;4317.86338;234.9585385
340;4323.34001;238.5100936
341;4333.13577;236.6576927
342;4342.93153;235.3954204
343;4352.72729;234.7327972
344;4362.52305;234.6749025
345;4372.31881;235.2221829
346;4382.11457;236.3704349
347;4391.91033;238.1109642
348;4401.70609;240.4309085
349;4411.50185;243.3136945
350;4421.29761;246.739595
351;4440.45311;244.1011219
352;4459.60861;242.0555395
353;4478.76411;240.6179694
354;4497.91961;239.7993469
355;4517.07511;239.6060159
356;4536.23061;240.0394873
357;4555.38611;241.0963804
358;4574.54161;242.768553
359;4593.69711;245.0434095
360;4612.85261;247.9043592
361;4629.30331;244.9260824
362;4645.75401;242.460582
363;4662.20471;240.5236272
364;4678.65541;239.1280623
365;4695.10611;238.2833996
366;4711.55681;237.9955049
367;4728.00751;238.2663963
368;4744.45821;239.0941747
369;4760.90891;240.473089
370;4777.35961;242.3937339
371;4800.84881;239.456342
372;4824.33801;237.0266967
373;4847.82721;235.1205392
374;4871.31641;233.7506763
375;4894.80561;232.9265703
376;4918.29481;232.6540207
377;4941.78401;232.9349636
378;4965.27321;233.7674035
379;4988.76241;235.1454833
380;5012.25161;237.0596876
381;5019.07854;232.9093013
382;5025.90547;229.2729475
383;5032.7324;226.1754208
384;5039.55933;223.6391114
385;5046.38626;221.6832832
386;5053.21319;220.3233956
387;5060.04012;219.5705215
388;5066.86705;219.4309092
389;5073.69398;219.9057265
390;5080.52091;220.9910132
391;5100.53691;216.4906766
392;5120.55291;212.6422635
393;5140.56891;209.4817066
394;5160.58491;207.0405095
395;5180.60091;205.3443298
396;5200.61691;204.4117145
397;5220.63291;204.2531231
398;5240.64891;204.8703531
399;5260.66491;206.2564396
400;5280.68091;208.3960418
401;5325.10501;204.3193665
402;5369.52911;200.7770003
403;5413.95321;197.7976524
404;5458.37731;195.4070771
405;5502.80141;193.6270831
406;5547.22551;192.4746111
407;5591.64961;191.9609637
408;5636.07371;192.0912656
409;5680.49781;192.8642115
410;5724.92191;194.2721311
411;5746.11641;188.6598447
412;5767.31091;183.6288778
413;5788.50541;179.2281904
414;5809.69991;175.5052006
415;5830.89441;172.5037923
416;5852.08891;170.2621302
417;5873.28341;168.8104835
418;5894.47791;168.1693117
419;5915.67241;168.3478755
420;5936.86691;169.3435818
421;5955.75871;162.3916243
422;5974.65051;155.967858
423;5993.54231;150.1400944
424;6012.43411;144.9802238
425;6031.32591;140.5618184
426;6050.21771;136.9566589
427;6069.10951;134.2302879
428;6088.00131;132.4369892
429;6106.89311;131.6149086
430;6125.78491;131.7822232
431;6127.1208;130.8059397
432;6128.45669;130.7097268
433;6129.79258;131.4955162
434;6131.12847;133.1476933
435;6132.46436;135.6346009
436;6133.80025;138.9114143
437;6135.13614;142.9238132
438;6136.47203;147.6118255
439;6137.80792;152.9133252
440;6139.14381;158.7668678
441;6156.11771;157.8238603
442;6173.09161;157.6465914
443;6190.06551;158.2376346
444;6207.03941;159.5884536
445;6224.01331;161.6800061
446;6240.98721;164.4840373
447;6257.96111;167.9648683
448;6274.93501;172.0814336
449;6291.90891;176.7893291
450;6308.88281;182.0426826
451;6334.41251;181.0654802
452;6359.94221;180.6411099
453;6385.47191;180.7734649
454;6411.00161;181.4613271
455;6436.53131;182.6984222
456;6462.06101;184.4737009
457;6487.59071;186.7718173
458;6513.12041;189.5737581
459;6538.65011;192.857565
460;6564.17981;196.5990936
461;6592.82221;195.3980153
462;6621.46461;194.7625123
463;6650.10701;194.6981229
464;6678.74941;195.2054124
465;6707.39181;196.2799481
466;6736.03421;197.9124909
467;6764.67661;200.089383
468;6793.31901;202.7930949
469;6821.96141;206.0028849
470;6850.60381;209.6955147
471;6862.56021;207.7967798
472;6874.51661;206.4350356
473;6886.47301;205.6209512
474;6898.42941;205.3610397
475;6910.38581;205.6574021
476;6922.34221;206.5076437
477;6934.29861;207.9049691
478;6946.25501;209.8384494
479;6958.21141;212.2934359
480;6970.16781;215.2520857
481;6974.00573;212.824302
482;6977.84365;210.8751825
483;6981.68157;209.418093
484;6985.51949;208.463351
485;6989.35741;208.0178736
486;6993.19533;208.0849316
487;6997.03325;208.6640308
488;7000.87117;209.7509302
489;7004.70909;211.3377952
490;7008.54701;213.4134734
491;7008.975352;210.4942351
492;7009.403694;208.1197592
493;7009.832036;206.3088561
494;7010.260378;205.0764561
495;7010.68872;204.4330217
496;7011.117062;204.3841155
497;7011.545404;204.9301631
498;7011.973746;206.066435
499;7012.402088;207.7832483
500;7012.83043;210.0663698
501;7031.81383;206.8855636
502;7050.79723;204.1994923
503;7069.78063;202.0278901
504;7088.76403;200.3874836
505;7107.74743;199.2913904
506;7126.73083;198.7486164
507;7145.71423;198.7636944
508;7164.69763;199.336498
509;7183.68103;200.4622463
510;7202.66443;202.1317006
511;7205.20836;198.3130489
512;7207.75229;195.0007512
513;7210.29622;192.2209854
514;7212.84015;189.9971266
515;7215.38408;188.3488668
516;7217.92801;187.2914034
517;7220.47194;186.8347682
518;7223.01587;186.983363
519;7225.5598;187.7357508
520;7228.10373;189.084724
521;7233.47916;184.3025198
522;7238.85459;180.0443313
523;7244.23002;176.348122
524;7249.60545;173.2498643
525;7254.98088;170.7821047
526;7260.35631;168.9724699
527;7265.73174;167.8422483
528;7271.10717;167.4052016
529;7276.4826;167.6667504
530;7281.85803;168.623644
531;7301.41163;163.3306507
532;7320.96523;158.54063
533;7340.51883;154.3004311
534;7360.07243;150.6564851
535;7379.62603;147.6529435
536;7399.17963;145.3295177
537;7418.73323;143.7191966
538;7438.28683;142.846099
539;7457.84043;142.7237552
540;7477.39403;143.3540874
541;7484.92243;136.1821829
542;7492.45083;129.4833381
543;7499.97923;123.3346589
544;7507.50763;117.8223097
545;7515.03603;113.0394205
546;7522.56443;109.0819868
547;7530.09283;106.0424652
548;7537.62123;104.0013671
549;7545.14963;103.0180549
550;7552.67803;103.122792
551;7553.82728;102.5965461
552;7554.97653;102.6766766
553;7556.12578;103.3617732
554;7557.27503;104.6399542
555;7558.42428;106.4898655
556;7559.57353;108.88237
557;7560.72278;111.7826334
558;7561.87203;115.1522964
559;7563.02128;118.9514742
560;7564.17053;123.1404184
561;7583.63193;122.6495204
562;7603.09333;122.6033756
563;7622.55473;123.0024847
564;7642.01613;123.8425428
565;7661.47753;125.1146684
566;7680.93893;126.8058585
567;7700.40033;128.8996195
568;7719.86173;131.3767055
569;7739.32313;134.2158941
570;7758.78453;137.3947392
571;7770.24433;136.6069018
572;7781.70413;136.2340774
573;7793.16393;136.2796721
574;7804.62373;136.7432673
575;7816.08353;137.6206389
576;7827.54333;138.9039463
577;7839.00313;140.5820733
578;7850.46293;142.6410855
579;7861.92273;145.0647656
580;7873.38253;147.8351788
581;7875.80386;146.8614814
582;7878.22519;146.3079279
583;7880.64652;146.1792914
584;7883.06785;146.4766914
585;7885.48918;147.1975455
586;7887.91051;148.3356805
587;7890.33184;149.8815907
588;7892.75317;151.8228203
589;7895.1745;154.1444346
590;7897.59583;156.8295415
591;7911.44423;156.1008873
592;7925.29263;155.7596007
593;7939.14103;155.808227
594;7952.98943;156.2464024
595;7966.83783;157.0708666
596;7980.68623;158.2755833
597;7994.53463;159.8519553
598;8008.38303;161.7891196
599;8022.23143;164.0742973
600;8036.07983;166.6931765
601;8043.9661;165.6858966
602;8051.85237;165.0479304
603;8059.73864;164.7835676
604;8067.62491;164.894605
605;8075.51118;165.3802865
606;8083.39745;166.2373284
607;8091.28372;167.4600292
608;8099.16999;169.0404542
609;8107.05626;170.9686835
610;8114.94253;173.2331034
611;8123.40277;171.7682326
612;8131.86301;170.6515462
613;8140.32325;169.8899103
614;8148.78349;169.4881113
615;8157.24373;169.4487092
616;8165.70397;169.7719562
617;8174.16421;170.4557892
618;8182.62445;171.4958947
619;8191.08469;172.8858428
620;8199.54493;174.6172794
621;8209.86643;172.6762855
622;8220.18793;171.0967867
623;8230.50943;169.8888662
624;8240.83093;169.0604888
625;8251.15243;168.6172484
626;8261.47393;168.5621832
627;8271.79543;168.8956729
628;8282.11693;169.6154257
629;8292.43843;170.716556
630;8302.75993;172.1917476
631;8317.03653;170.2905214
632;8331.31313;168.7191444
633;8345.58973;167.4869009
634;8359.86633;166.6013161
635;8374.14293;166.067936
636;8388.41953;165.8901578
637;8402.69613;166.0691237
638;8416.97273;166.603684
639;8431.24933;167.490434
640;8445.52593;168.7238208
641;8453.55417;166.5545981
642;8461.58241;164.7633562
643;8469.61065;163.3625289
644;8477.63889;162.3622219
645;8485.66713;161.7698651
646;8493.69537;161.5899451
647;8501.72361;161.8238375
